iter	MultiClass
0	1.070624332
1	1.045623733
2	1.022886546
3	1.002725187
4	0.983817579
5	0.9664653818
6	0.9503255826
7	0.9359908584
8	0.9234068698
9	0.9106993591
10	0.8994776638
11	0.8882612329
12	0.8786808535
13	0.869089786
14	0.8601953883
15	0.8526468159
16	0.8444245206
17	0.8368498598
18	0.829696013
19	0.8237296721
20	0.8178181503
21	0.812204622
22	0.8068895913
23	0.8018644584
24	0.7978675038
25	0.7931780123
26	0.7889505291
27	0.7853095409
28	0.7815036301
29	0.7783448119
30	0.775169198
31	0.772153149
32	0.7696151471
33	0.7663879152
34	0.7639096867
35	0.7610966157
36	0.7586460404
37	0.7565225224
38	0.754062709
39	0.7517271318
40	0.7499064076
41	0.7483756838
42	0.7464501018
43	0.7447580272
44	0.7431448842
45	0.741870885
46	0.7400763228
47	0.7387634381
48	0.7370390457
49	0.7352704904
50	0.7339441282
51	0.7327448397
52	0.7313499331
53	0.7304934198
54	0.7290157225
55	0.7274546896
56	0.7263640699
57	0.7254370265
58	0.7244897888
59	0.7235298356
60	0.7224631706
61	0.7217819555
62	0.7205404143
63	0.7195716952
64	0.7189122388
65	0.7180268612
66	0.7172479257
67	0.716423588
68	0.7157001661
69	0.7150664152
70	0.7145991885
71	0.7138780179
72	0.7128395009
73	0.711996091
74	0.7112582664
75	0.7104752005
76	0.71005611
77	0.7094572982
78	0.7088597381
79	0.7083575097
80	0.7078116626
81	0.7073251537
82	0.7067386606
83	0.7063122281
84	0.7056967691
85	0.7050007954
86	0.7044220033
87	0.7039603651
88	0.7034550394
89	0.7029528977
90	0.7023753157
91	0.7017104933
92	0.7014368306
93	0.7010616708
94	0.700799832
95	0.7005533403
96	0.7001535723
97	0.6996239631
98	0.6992642296
99	0.6988644395
100	0.6985430521
101	0.6982713749
102	0.69791831
103	0.69760732
104	0.6971246225
105	0.6967583242
106	0.6964610113
107	0.6961113523
108	0.6958509406
109	0.6956267138
110	0.6951377206
111	0.6949106099
112	0.6945112061
113	0.694284175
114	0.6938270546
115	0.6937065036
116	0.693576675
117	0.6933840985
118	0.6931022733
119	0.6927525956
120	0.6925573497
121	0.6922014888
122	0.6919706614
123	0.6916008336
124	0.6913921001
125	0.6911745568
126	0.6910364845
127	0.6906571056
128	0.6903668035
129	0.6901155891
130	0.6899024916
131	0.6895834951
132	0.6892847914
133	0.6889358123
134	0.6884176659
135	0.6882316507
136	0.6877459671
137	0.6875266831
138	0.6871272197
139	0.686973914
140	0.6865291942
141	0.6863933024
142	0.6861499923
143	0.6859624731
144	0.6858519575
145	0.6855953204
146	0.6851014352
147	0.6849280673
148	0.6846703167
149	0.6845261793
150	0.6843039881
151	0.6841818705
152	0.6839556902
153	0.6837013867
154	0.6835343814
155	0.6834372379
156	0.6831114533
157	0.6829954365
158	0.6828482581
159	0.6827252187
160	0.6824189394
161	0.682326993
162	0.6822361851
163	0.6821443609
164	0.6820024475
165	0.6818879114
166	0.6817414652
167	0.6815655023
168	0.6815111822
169	0.681347704
170	0.6812532103
171	0.6808720596
172	0.6805592728
173	0.6800923614
174	0.680023119
175	0.6799463465
176	0.6798161937
177	0.6796845838
178	0.6795778399
179	0.6795084704
180	0.6793325072
181	0.6791310062
182	0.6786603149
183	0.6785549677
184	0.6784720425
185	0.678207882
186	0.6780237286
187	0.6778887486
188	0.6778342627
189	0.6776700418
190	0.6774852418
191	0.6773957117
192	0.6772273848
193	0.6768972279
194	0.6766829892
195	0.6765791863
196	0.6764654875
197	0.6762299017
198	0.6760795699
199	0.67595545
200	0.6758389514
201	0.6756397762
202	0.6754028405
203	0.6752644139
204	0.6752169809
205	0.6751028127
206	0.6749525059
207	0.674720603
208	0.6746236749
209	0.6744840801
210	0.6743887341
211	0.6743294742
212	0.6742314508
213	0.6739582123
214	0.6738701683
215	0.6737732176
216	0.673610896
217	0.6734094233
218	0.6733099113
219	0.6732577613
220	0.6730836047
221	0.6730527175
222	0.6729631385
223	0.6727586577
224	0.6725717687
225	0.6724763013
226	0.672356394
227	0.6721771156
228	0.6720993062
229	0.6719821304
230	0.6717855402
231	0.6717146291
232	0.6715440185
233	0.6714972814
234	0.6713869293
235	0.6712996641
236	0.6711264924
237	0.6710582972
238	0.6710005447
239	0.6709070183
240	0.670718552
241	0.6705246924
242	0.670375612
243	0.6702913136
244	0.670165781
245	0.669950797
246	0.6698121277
247	0.6695204319
248	0.66942636
249	0.6693277411
250	0.6691510499
251	0.6691110974
252	0.6689707379
253	0.6688091975
254	0.6687240713
255	0.6686792225
256	0.668588188
257	0.6685211759
258	0.6683167636
259	0.6681990645
260	0.6680151889
261	0.667888686
262	0.6677991875
263	0.6675416744
264	0.6674423566
265	0.6672733858
266	0.667158227
267	0.6670707898
268	0.6669740665
269	0.6667847147
270	0.6666552379
271	0.6665030117
272	0.6664149157
273	0.666293963
274	0.6661578746
275	0.6659968549
276	0.6659074637
277	0.6657506215
278	0.6656276075
279	0.665566618
280	0.6653932217
281	0.6653453214
282	0.665199383
283	0.6650892285
284	0.6650221248
285	0.6649019223
286	0.6647889614
287	0.6647425106
288	0.6645957145
289	0.6644828287
290	0.6642324423
291	0.6640843833
292	0.6639757567
293	0.6638304238
294	0.6637249855
295	0.6635895947
296	0.6634675503
297	0.6633531142
298	0.6632867639
299	0.6631926168
300	0.6631127019
301	0.6629521158
302	0.6628809789
303	0.6627690077
304	0.6626786509
305	0.6625421399
306	0.6624508796
307	0.662327007
308	0.6622616653
309	0.6621365119
310	0.6620226681
311	0.6619365106
312	0.6618798812
313	0.6618289275
314	0.6617623286
315	0.6616731397
316	0.6615475412
317	0.6615151556
318	0.6613101815
319	0.6611476604
320	0.6610438418
321	0.6609484763
322	0.6608780946
323	0.6607805566
324	0.6607159251
325	0.6606463387
326	0.6605236775
327	0.6604760711
328	0.6603251019
329	0.6602505003
330	0.6602050597
331	0.6600296305
332	0.6599637435
333	0.6598952348
334	0.6598718343
335	0.6597746278
336	0.6596536761
337	0.6595280004
338	0.6594048733
339	0.6593247279
340	0.6592509649
341	0.6590235394
342	0.6589837049
343	0.6588604495
344	0.6587810817
345	0.6587021202
346	0.6586820732
347	0.6585130772
348	0.658424377
349	0.6582680666
350	0.6581080157
351	0.6580004226
352	0.6579158909
353	0.6578135215
354	0.6577480651
355	0.6576384422
356	0.657454951
357	0.6573605897
358	0.6572908561
359	0.6572306707
360	0.6571377072
361	0.6570503333
362	0.6570037073
363	0.6569037804
364	0.6567949351
365	0.6567680069
366	0.6566881579
367	0.6566038653
368	0.6565492861
369	0.6564430821
370	0.6564032619
371	0.6563162064
372	0.6562369065
373	0.6561111246
374	0.6560730037
375	0.6559436052
376	0.6558714254
377	0.6557497345
378	0.6556932538
379	0.6556193925
380	0.655545808
381	0.6554704025
382	0.6553852686
383	0.6553320349
384	0.6552470868
385	0.6551980232
386	0.6551212521
387	0.6550504871
388	0.6549690171
389	0.6548538557
390	0.6547819088
391	0.6547280994
392	0.6546789902
393	0.6546287448
394	0.6545752109
395	0.6545267501
396	0.6544956497
397	0.6543888453
398	0.65431935
399	0.6542556303
400	0.6541854226
401	0.6541385376
402	0.6540419396
403	0.654012871
404	0.6539385306
405	0.6538956663
406	0.6538648662
407	0.6538268897
408	0.6537569747
409	0.6536510061
410	0.6535341653
411	0.6534608721
412	0.6533703974
413	0.6532683795
414	0.6531158159
415	0.6530026095
416	0.6529566559
417	0.6528952935
418	0.6527707682
419	0.6527232633
420	0.6526426994
421	0.6525099503
422	0.6524364735
423	0.6523601862
424	0.6521936008
425	0.6521392324
426	0.6520414808
427	0.6519528026
428	0.651908256
429	0.6518633891
430	0.6517693674
431	0.6516879269
432	0.6515597318
433	0.6514497986
434	0.6513675565
435	0.6513104096
436	0.6512795527
437	0.6512076936
438	0.6510999798
439	0.6509376888
440	0.6508551609
441	0.6508064707
442	0.6507454239
443	0.650664658
444	0.6505875568
445	0.6505331826
446	0.6503904728
447	0.6502391759
448	0.6501746141
449	0.650066102
450	0.6498278046
451	0.6497772535
452	0.6497298478
453	0.649619356
454	0.6495778484
455	0.6494900507
456	0.6494121922
457	0.6493001171
458	0.6491800843
459	0.6491320246
460	0.6490135585
461	0.648966822
462	0.6488685781
463	0.6488248609
464	0.6487413773
465	0.6486887655
466	0.6486063488
467	0.6485338221
468	0.6485085156
469	0.6484122083
470	0.6483479555
471	0.6483110421
472	0.6482699326
473	0.648213644
474	0.6481604037
475	0.6480909649
476	0.6480212613
477	0.6479862911
478	0.6479538863
479	0.6479181202
480	0.6478992211
481	0.647809781
482	0.6477499484
483	0.6476804864
484	0.647654183
485	0.6475826363
486	0.6475124749
487	0.6474689036
488	0.6474409979
489	0.6473762175
490	0.6472523659
491	0.6472001547
492	0.6471520834
493	0.6471010078
494	0.6470079388
495	0.6469629567
496	0.6468894638
497	0.6468521118
498	0.6467863156
499	0.646719687
500	0.6466000357
501	0.6465386748
502	0.646456198
503	0.6463952066
504	0.6463203007
505	0.6462521579
506	0.6462126744
507	0.6461748382
508	0.646122246
509	0.6460853321
510	0.6460313674
511	0.6459711322
512	0.6458800294
513	0.6458396119
514	0.6457510711
515	0.6456684949
516	0.6456014113
517	0.6455285701
518	0.6454369573
519	0.6453792129
520	0.6453233858
521	0.6452372542
522	0.6451505963
523	0.6450444634
524	0.6449767586
525	0.6449433461
526	0.6448821174
527	0.644833535
528	0.6447770118
529	0.6447324681
530	0.644687289
531	0.6446289376
532	0.6445505248
533	0.6445137456
534	0.6444342089
535	0.644350082
536	0.6443090858
537	0.6442268506
538	0.6441812094
539	0.644037493
540	0.6439772838
541	0.6438535714
542	0.6438000463
543	0.6437574763
544	0.6437158747
545	0.6436548623
546	0.6435831675
547	0.6435484079
548	0.6434545542
549	0.6433742291
550	0.6432873944
551	0.6432451356
552	0.6431965521
553	0.6431542303
554	0.6430560757
555	0.6430181835
556	0.6429651101
557	0.6428718539
558	0.6428247025
559	0.6427688251
560	0.6427438526
561	0.6426868391
562	0.6426259831
563	0.642563147
564	0.6425057386
565	0.6424635388
566	0.6424224275
567	0.6422986606
568	0.6422717188
569	0.6422347739
570	0.6421943877
571	0.6421523478
572	0.6420895794
573	0.6420431685
574	0.6419494228
575	0.6418965265
576	0.6418644665
577	0.6418394552
578	0.6417800208
579	0.6417299529
580	0.6416545732
581	0.6415951123
582	0.6415598713
583	0.6414862264
584	0.6414452427
585	0.6414046037
586	0.6413341724
587	0.6413040534
588	0.6412547428
589	0.6412031212
590	0.6411726616
591	0.6411101328
592	0.641045181
593	0.6409892323
594	0.640930873
595	0.6408681393
596	0.6407623797
597	0.6407037802
598	0.6406214527
599	0.6405332932
600	0.640474492
601	0.6404404243
602	0.6403367996
603	0.6403201975
604	0.6402602368
605	0.6402231744
606	0.6401926044
607	0.640135298
608	0.6400571916
609	0.640009696
610	0.6399644629
611	0.6398951383
612	0.6398704619
613	0.6397943877
614	0.6397431889
615	0.6396431625
616	0.6396173294
617	0.639545068
618	0.639467642
619	0.6394111535
620	0.639359282
621	0.6393402411
622	0.6392900285
623	0.6392520772
624	0.6391766536
625	0.6391402015
626	0.6391193905
627	0.6390715725
628	0.6390312788
629	0.6389592435
630	0.6388738055
631	0.6388044927
632	0.6387488113
633	0.6387320414
634	0.6386888344
635	0.6386342728
636	0.6385861666
637	0.6385112065
638	0.6384214679
639	0.6383660833
640	0.6383074245
641	0.6382507554
642	0.6381457413
643	0.6380949977
644	0.6379745116
645	0.6379029667
646	0.6378427325
647	0.6378228624
648	0.6377523809
649	0.6376890254
650	0.6376080772
651	0.637532254
652	0.6374638706
653	0.6374047911
654	0.6373002792
655	0.6372377058
656	0.6371408459
657	0.63710816
658	0.6370512938
659	0.6369982905
660	0.636923712
661	0.6368779946
662	0.6368346402
663	0.6367336839
664	0.6366895901
665	0.6366119057
666	0.636571249
667	0.6364831527
668	0.6364543041
669	0.6363685899
670	0.6363005302
671	0.6362538562
672	0.6362241601
673	0.6361048381
674	0.6360478968
675	0.6359747675
676	0.6359077673
677	0.6358540914
678	0.635819256
679	0.635745633
680	0.6356787614
681	0.6356388599
682	0.635581793
683	0.6355497644
684	0.6354678593
685	0.6353996959
686	0.635358084
687	0.6353201735
688	0.6352868329
689	0.6352422269
690	0.6352165552
691	0.6351751444
692	0.6351430995
693	0.6351127533
694	0.635056416
695	0.6349964734
696	0.6349499031
697	0.6348769662
698	0.6348489103
699	0.6347755393
700	0.6346880997
701	0.6346528731
702	0.6345912442
703	0.6343805983
704	0.6343129808
705	0.6342850979
706	0.6342071649
707	0.6341160103
708	0.6340556322
709	0.6339904859
710	0.6339376767
711	0.6339006362
712	0.6338677176
713	0.6338089552
714	0.6337385236
715	0.6336997267
716	0.6336539119
717	0.6336158921
718	0.6335796238
719	0.6335406495
720	0.633511758
721	0.6334797551
722	0.6334055544
723	0.6333224566
724	0.6332546478
725	0.633204094
726	0.6331308177
727	0.6331160781
728	0.6330331061
729	0.6329999366
730	0.6329697301
731	0.6329123992
732	0.6327975458
733	0.6327373129
734	0.6326914757
735	0.6326295252
736	0.6325673474
737	0.6324747397
738	0.6324335325
739	0.6324190692
740	0.6323849452
741	0.6323213465
742	0.6322732425
743	0.6322155589
744	0.632202001
745	0.6321532137
746	0.6321065398
747	0.6320119844
748	0.6319467181
749	0.6319199946
750	0.6318596399
751	0.6318496761
752	0.6318040743
753	0.6317534822
754	0.6317349697
755	0.6316789805
756	0.6315925085
757	0.6315190633
758	0.6314702386
759	0.6314421947
760	0.6314048657
761	0.6313747927
762	0.6312794593
763	0.6312371446
764	0.6311889762
765	0.6311759652
766	0.6311172745
767	0.6310882417
768	0.6310662836
769	0.6310102616
770	0.6309738217
771	0.6309156529
772	0.6308948191
773	0.6308403453
774	0.6307750624
775	0.6307236158
776	0.6306742965
777	0.6306114201
778	0.6305816834
779	0.6305287775
780	0.6304608461
781	0.6304047654
782	0.6303086624
783	0.63027165
784	0.6302462032
785	0.6302010196
786	0.6301651301
787	0.6301068466
788	0.6300408876
789	0.6299758528
790	0.6299235337
791	0.6298776815
792	0.6298458215
793	0.6297897747
794	0.6297216902
795	0.6296583772
796	0.6296287584
797	0.6295745876
798	0.6295526181
799	0.6295133547
800	0.6294583009
801	0.6293841373
802	0.6293517471
803	0.6293187337
804	0.6292621088
805	0.6292274267
806	0.6291986031
807	0.6291409829
808	0.6290949584
809	0.6290582562
810	0.6290103544
811	0.6289824599
812	0.6289042358
813	0.6288357948
814	0.6288076653
815	0.6287688789
816	0.6287457633
817	0.6287063422
818	0.6286698265
819	0.6286285844
820	0.6285994314
821	0.6285421455
