iter	Passed	Remaining
0	12	12535
1	22	11073
2	30	9989
3	37	9326
4	44	8924
5	52	8679
6	60	8527
7	66	8299
8	74	8211
9	82	8133
10	90	8155
11	98	8149
12	106	8066
13	114	8045
14	122	8022
15	128	7921
16	137	7973
17	145	7961
18	154	7962
19	161	7929
20	169	7898
21	176	7842
22	185	7858
23	193	7850
24	200	7823
25	209	7832
26	216	7810
27	223	7768
28	231	7760
29	238	7716
30	246	7698
31	254	7700
32	261	7666
33	270	7674
34	277	7646
35	284	7621
36	292	7604
37	298	7568
38	306	7555
39	314	7553
40	322	7542
41	329	7513
42	338	7542
43	349	7586
44	357	7578
45	363	7546
46	371	7535
47	379	7525
48	387	7518
49	394	7503
50	402	7498
51	410	7486
52	418	7477
53	425	7450
54	433	7445
55	442	7453
56	449	7436
57	457	7425
58	464	7400
59	472	7398
60	479	7385
61	486	7365
62	494	7350
63	502	7345
64	509	7329
65	517	7318
66	524	7308
67	532	7302
68	539	7284
69	548	7281
70	554	7260
71	562	7244
72	570	7244
73	578	7237
74	585	7226
75	592	7208
76	601	7204
77	608	7192
78	615	7179
79	623	7165
80	630	7154
81	637	7142
82	645	7133
83	653	7121
84	660	7111
85	669	7110
86	676	7099
87	684	7088
88	691	7080
89	699	7072
90	707	7067
91	715	7062
92	722	7046
93	729	7030
94	737	7021
95	743	7005
96	751	6994
97	758	6984
98	766	6972
99	773	6965
100	781	6956
101	788	6945
102	796	6938
103	804	6929
104	812	6926
105	819	6911
106	826	6901
107	834	6895
108	842	6883
109	848	6867
110	856	6858
111	863	6849
112	870	6835
113	878	6824
114	885	6813
115	892	6799
116	899	6785
117	906	6777
118	914	6767
119	922	6765
120	929	6751
121	937	6746
122	945	6744
123	954	6745
124	962	6738
125	970	6730
126	977	6720
127	986	6719
128	995	6718
129	1002	6710
130	1010	6700
131	1017	6693
132	1025	6686
133	1034	6682
134	1041	6671
135	1049	6665
136	1056	6654
137	1063	6646
138	1071	6639
139	1079	6630
140	1086	6617
141	1093	6608
142	1100	6597
143	1108	6591
144	1116	6581
145	1123	6573
146	1131	6563
147	1139	6560
148	1147	6552
149	1154	6542
150	1161	6529
151	1168	6518
152	1175	6508
153	1183	6502
154	1190	6490
155	1197	6480
156	1205	6474
157	1213	6466
158	1221	6459
159	1228	6449
160	1236	6442
161	1242	6429
162	1249	6418
163	1256	6407
164	1263	6394
165	1271	6386
166	1278	6376
167	1285	6366
168	1292	6353
169	1299	6344
170	1307	6336
171	1314	6329
172	1321	6318
173	1330	6314
174	1337	6304
175	1344	6295
