iter	MultiClass
0	1.071055956
1	1.045407918
2	1.022750401
3	1.002453293
4	0.9834899046
5	0.9670175843
6	0.951395762
7	0.9370583766
8	0.9232327292
9	0.9109113735
10	0.8990950007
11	0.8878807156
12	0.8782344316
13	0.8686191931
14	0.8604412531
15	0.8516882041
16	0.8443583473
17	0.8369498501
18	0.830849203
19	0.8246557286
20	0.8183751908
21	0.8125111755
22	0.8071529984
23	0.8017456324
24	0.7974659802
25	0.7935479768
26	0.7891770041
27	0.7853137239
28	0.7819022175
29	0.7788478935
30	0.7757876037
31	0.7731161013
32	0.7695933709
33	0.7668735602
34	0.7640957747
35	0.7614847298
36	0.7592904604
37	0.756564908
38	0.7539386056
39	0.7518938058
40	0.7501241108
41	0.7478052962
42	0.7459012513
43	0.7442139792
44	0.742455428
45	0.7408346056
46	0.7394696818
47	0.7377573234
48	0.7364238533
49	0.7354343344
50	0.7342207878
51	0.7330517552
52	0.7317208873
53	0.7307471121
54	0.729515345
55	0.7284116762
56	0.727003059
57	0.7258916952
58	0.7250190875
59	0.72408274
60	0.7231191821
61	0.7224117713
62	0.7213158028
63	0.720227973
64	0.7193109582
65	0.7184577223
66	0.7179005346
67	0.7171179956
68	0.7163050969
69	0.7153735136
70	0.7143925096
71	0.7139407595
72	0.7132173493
73	0.7126051126
74	0.7121614628
75	0.7114294601
76	0.7106829606
77	0.7098405853
78	0.7091535233
79	0.7086705566
80	0.7081442967
81	0.7076690836
82	0.7072520099
83	0.7068964232
84	0.7063368481
85	0.7056091151
86	0.7052360788
87	0.7047618746
88	0.7045004931
89	0.7039264606
90	0.7036486741
91	0.7032791523
92	0.7028685805
93	0.7024800043
94	0.7018348226
95	0.7015727992
96	0.7011076404
97	0.7007372759
98	0.7002469846
99	0.6999569183
100	0.6996513328
101	0.6993016696
102	0.6990043988
103	0.6987924607
104	0.6981982039
105	0.6979138953
106	0.6975156981
107	0.6970963645
108	0.6966934165
109	0.6962122117
110	0.6957848533
111	0.6954621535
112	0.6952172008
113	0.6948830828
114	0.6945988059
115	0.6944116189
116	0.6941374909
117	0.6939173684
118	0.6937868289
119	0.6935760869
120	0.6933557028
121	0.6929310307
122	0.6925403331
123	0.6924169588
124	0.6921192977
125	0.6919391538
126	0.6915777318
127	0.6911489128
128	0.6906755048
129	0.690527313
130	0.6902045274
131	0.6900627335
132	0.6898707326
133	0.6894401343
134	0.6891203119
135	0.6888176683
136	0.6885812247
137	0.688308499
138	0.6881369114
139	0.6878060892
140	0.6875657399
141	0.6873643587
142	0.6872116268
143	0.6870765443
144	0.6867908373
145	0.6863213647
146	0.6862057454
147	0.68595935
148	0.685868331
149	0.6857511738
150	0.6856698068
151	0.6854851767
152	0.6852537135
153	0.6851409974
154	0.6849671388
155	0.6848806661
156	0.6847217268
157	0.6845605562
158	0.6842784726
159	0.684118133
160	0.6839965227
161	0.6838633148
162	0.683776647
163	0.6834085147
164	0.6832463969
165	0.6830460138
166	0.6828703822
167	0.6827452549
168	0.6825219025
169	0.6824159592
170	0.6823416548
171	0.6820693112
172	0.6818924522
173	0.6818519336
174	0.6817730636
175	0.6814404296
176	0.6812656461
177	0.6811390711
178	0.6810472391
179	0.6808707997
180	0.6808146126
181	0.6805698975
182	0.6804062638
183	0.6802758775
184	0.6798754181
185	0.6797900099
186	0.6797497704
187	0.6796565217
188	0.6794182316
189	0.6792375005
190	0.679087475
191	0.6789690416
192	0.6788739317
193	0.678767553
194	0.6784855176
195	0.6783702758
196	0.678305093
197	0.6782128155
198	0.6780657618
199	0.6779280807
200	0.6778000142
201	0.6777149078
202	0.6775984375
203	0.6774904786
204	0.6772715016
205	0.6771430272
206	0.6770287066
207	0.6769280808
208	0.6767121881
209	0.6765915222
210	0.6764844671
211	0.676271429
212	0.6761823527
213	0.6759702661
214	0.6758065877
215	0.675615317
216	0.6754982096
217	0.6754302981
218	0.6753189865
219	0.6751590497
220	0.6748363651
221	0.6747778163
222	0.6746287277
223	0.6745470552
224	0.6743331993
225	0.6742308403
226	0.6739930182
227	0.6738986814
228	0.6737450055
229	0.673588105
230	0.673408761
231	0.6731940401
232	0.6730714823
233	0.672902765
234	0.6727991326
235	0.6727040319
236	0.6726192725
237	0.6724483621
238	0.6722940222
239	0.6721548924
240	0.6719799707
241	0.6717312485
242	0.6716104438
243	0.671307753
244	0.6711561924
245	0.6710517202
246	0.6709069482
247	0.6708121266
248	0.6706548142
249	0.670562977
250	0.6704359304
251	0.6701747727
252	0.6700969909
253	0.669865208
254	0.6697676055
255	0.6696419724
256	0.6694742081
257	0.6693713794
258	0.6691667758
259	0.669060483
260	0.669017526
261	0.6689425412
262	0.6688558416
263	0.6687058524
264	0.6686245342
265	0.6684902419
266	0.6682791314
267	0.6681671899
268	0.6679875704
269	0.6678726773
270	0.667741929
271	0.6675423347
272	0.6673657956
273	0.6672091402
274	0.6671119858
275	0.6668854585
276	0.6665316204
277	0.6664597471
278	0.6663612779
279	0.6662843815
280	0.6661720488
281	0.6660410992
282	0.6659508834
283	0.6657627667
284	0.6656144391
