iter	Passed	Remaining
0	7	7905
1	15	7559
2	23	7659
3	30	7566
4	38	7566
5	45	7581
6	52	7488
7	61	7582
8	69	7666
9	77	7691
10	85	7723
11	94	7739
12	101	7668
13	109	7732
14	116	7665
15	125	7703
16	134	7762
17	142	7767
18	149	7728
19	157	7738
20	165	7735
21	174	7747
22	182	7750
23	190	7741
24	197	7699
25	204	7665
26	211	7630
27	219	7632
28	226	7571
29	233	7541
30	239	7500
31	246	7457
32	253	7436
33	261	7431
34	268	7413
35	276	7406
36	283	7379
37	290	7349
38	297	7340
39	304	7308
40	311	7284
41	318	7261
42	327	7278
43	334	7277
44	342	7275
45	350	7263
46	358	7259
47	365	7250
48	373	7251
49	380	7230
50	389	7247
51	396	7229
52	404	7230
53	412	7219
54	419	7209
55	427	7204
56	442	7324
57	449	7301
58	456	7288
59	464	7280
60	472	7271
61	480	7266
62	487	7246
63	494	7234
64	502	7234
65	511	7241
66	520	7242
67	528	7243
68	536	7245
69	545	7246
70	553	7245
71	562	7247
72	571	7251
73	578	7243
74	586	7237
75	594	7230
76	603	7228
77	610	7216
78	618	7209
79	626	7200
80	635	7206
81	643	7207
82	652	7204
83	660	7197
84	667	7186
85	674	7170
86	682	7161
87	690	7152
88	697	7139
89	705	7135
90	712	7121
91	720	7113
92	728	7103
93	734	7079
94	741	7061
95	747	7041
96	754	7022
97	761	7007
98	768	6990
99	775	6975
100	781	6960
101	788	6944
102	795	6928
103	802	6909
104	808	6895
105	816	6883
106	824	6877
107	831	6867
108	838	6852
109	845	6843
110	852	6831
111	859	6817
112	866	6802
113	872	6783
114	880	6777
115	886	6757
116	893	6742
117	899	6724
118	905	6707
119	912	6693
120	919	6677
121	925	6663
122	932	6649
123	939	6637
124	946	6623
125	952	6610
126	961	6606
127	968	6596
128	975	6585
129	981	6568
130	988	6556
131	994	6538
132	1000	6525
133	1008	6515
134	1014	6501
135	1021	6488
136	1028	6477
137	1035	6471
138	1042	6458
139	1049	6446
140	1056	6435
141	1063	6424
142	1069	6409
143	1075	6393
144	1083	6389
145	1090	6379
146	1097	6367
147	1103	6355
148	1110	6343
149	1117	6330
150	1124	6321
151	1130	6306
152	1137	6295
153	1144	6287
154	1152	6282
155	1159	6274
156	1167	6268
157	1174	6259
158	1181	6251
159	1188	6241
160	1195	6230
161	1201	6217
162	1208	6204
163	1214	6192
164	1222	6185
165	1229	6176
166	1237	6170
167	1243	6160
168	1250	6151
169	1257	6139
170	1264	6128
171	1270	6117
172	1278	6109
173	1283	6095
174	1290	6084
175	1298	6080
176	1305	6070
177	1312	6061
178	1319	6051
179	1326	6042
180	1332	6028
181	1339	6021
182	1346	6011
183	1352	5999
184	1361	5997
185	1368	5987
186	1375	5978
187	1381	5966
188	1388	5959
189	1396	5951
190	1402	5942
191	1410	5935
192	1416	5922
193	1423	5914
194	1430	5907
195	1437	5897
196	1445	5890
197	1452	5884
198	1461	5883
199	1471	5886
200	1478	5877
201	1485	5869
202	1493	5861
203	1500	5855
204	1507	5847
205	1516	5844
206	1523	5837
207	1530	5826
208	1536	5815
209	1543	5806
210	1550	5796
211	1557	5787
212	1564	5781
213	1573	5778
214	1581	5772
215	1588	5766
216	1595	5756
217	1602	5747
218	1609	5738
219	1616	5729
220	1623	5723
221	1630	5712
222	1636	5703
223	1642	5690
224	1649	5682
225	1657	5676
226	1664	5669
227	1671	5659
228	1677	5649
229	1685	5641
230	1692	5634
231	1699	5625
232	1706	5616
233	1714	5610
234	1720	5600
235	1727	5592
236	1734	5584
237	1741	5576
238	1748	5568
239	1756	5562
240	1763	5554
241	1770	5545
